index,inter_packet_latency_us
445,999.915
446,1000.335
447,1000.095
448,999.607
449,1000.118
450,999.84
451,1000.214
452,999.753
453,1000.138
454,999.826
455,1000.457
456,999.527
457,999.988
458,1000.036
459,1000.458
460,999.561
461,1000.624
462,1000.327
463,1002.087
464,997.536
465,999.536
466,1000.094
467,1000.196
468,999.691
469,1000.088
470,1000.198
471,999.811
472,1009.49
473,992.867
474,997.76
475,1000.975
476,999.047
477,999.732
478,1000.166
479,999.953
480,999.981
481,999.981
482,999.949
483,1000.457
484,999.482
485,1000.097
486,1000.041
487,1002.801
488,1000.818
489,996.489
490,999.782
491,1000.38
492,999.825
493,999.875
494,999.959
495,1000.189
496,999.924
497,999.954
498,1000.042
499,1000.107
500,999.757
501,999.966
502,1000.023
503,1000.213
504,999.81
505,1000.048
506,999.997
507,1000.393
508,999.658
509,999.945
510,999.986
511,1000.019
512,999.826
513,1000.043
514,999.972
515,1000.383
516,999.861
517,1004.827
518,996.438
519,998.939
520,1018.415
521,993.461
522,993.215
523,998.002
524,1000.693
525,998.446
526,997.856
527,1001.881
528,998.416
529,1002.874
530,1004.096
531,999.237
532,997.684
533,1000.333
534,996.959
535,999.092
536,1003.013
537,1000.417
538,996.151
539,1000.178
540,999.428
541,1003.925
542,998.803
543,1000.847
544,1001.932
545,1002.276
546,1000.679
547,1000.449
548,998.36
549,996.518
550,996.913
551,999.216
552,1000.169
553,999.708
554,1000.202
555,1000.555
556,999.505
557,1000.017
558,999.773
559,1003.727
560,999.574
561,1001.203
562,1000.422
563,1001.485
564,999.293
565,999.228
566,996.981
567,998.853
568,999.314
569,999.935
570,999.858
571,1000.852
572,999.37
573,1000.462
574,1000.312
575,999.837
576,999.276
577,1000.038
578,1000.128
579,1000.195
580,999.844
581,999.918
582,999.832
583,1000.125
584,999.94
585,1000.001
586,999.928
587,1000.237
588,999.851
589,999.953
590,999.973
591,1000.452
592,999.691
593,999.879
594,1000.16
595,1000.157
596,999.783
597,1000.076
598,999.861
599,1000.114
600,999.914
601,999.787
602,1000.062
603,1000.467
604,999.548
605,1000.132
606,999.996
607,999.978
608,1000.046
609,1000.048
610,999.921
611,1000.361
612,999.632
613,1000.227
614,999.561
615,1000.243
616,999.976
617,1000.036
618,999.73
619,1000.61
620,1000.224
621,1000.079
622,1001.031
623,998.518
624,1000.445
625,999.468
626,999.94
627,1000.233
628,1000.358
629,999.394
630,999.933
631,1000.114
632,999.858
633,1000.049
634,999.896
635,1000.34
636,999.685
637,1000.09
638,999.988
639,1000.114
640,999.89
641,1000.037
642,999.866
643,1000.262
644,999.792
645,1000.043
646,999.932
647,1000.061
648,999.917
649,1000.088
650,999.944
651,1000.275
652,999.667
653,1000.112
654,1000.134
655,1001.393
656,998.38
657,1000.022
658,999.957
659,1000.34
660,999.638
661,1000.766
662,999.309
663,1000.111
664,999.852
665,1000.056
666,999.993
667,1000.358
668,999.616
669,1000.066
670,999.857
671,1000.294
672,999.982
673,1001.085
674,998.591
675,1000.513
676,1000.75
677,998.934
678,999.823
679,1000.374
680,1000.663
681,999.037
682,1000
683,1000.776
684,999.234
685,1003.885
686,996.668
687,1000.66
688,998.945
689,999.967
690,1000.081
691,1000.152
692,999.697
693,1000.042
694,1000.131
695,999.887
696,1000.13
697,999.968
698,999.932
699,1000.308
700,999.619
701,1000.131
702,999.629
703,1000.512
704,999.757
705,999.875
706,999.833
707,1000.617
708,999.715
709,999.906
710,1000.072
711,1000.017
712,999.943
713,1000.238
714,999.698
715,1000.194
716,999.852
717,1001.662
718,998.487
719,1000.046
720,999.848
721,999.988
722,999.883
723,1000.408
724,999.607
725,999.997
726,1000.111
727,1000.138
728,999.822
729,1000.224
730,999.744
731,1000.369
732,999.703
733,999.978
734,999.93
735,1000.042
736,1000.083
737,1000.035
738,1000.166
739,1000.334
740,999.43
741,999.961
742,1000.259
743,999.826
744,1000.071
745,999.82
746,999.927
747,1000.783
748,1000.095
749,1000.183
750,999.291
751,1000.305
752,999.305
753,1000.113
754,999.981
755,1000.449
756,1002.627
757,999.859
758,998.481
759,1001.161
760,1000.795
761,998.698
762,999.963
763,998.825
764,999.419
765,999.983
766,999.707
767,1000.199
768,1000.157
769,999.738
770,999.982
771,1000.21
772,999.831
773,999.945
774,1000.055
775,1001.125
776,999.593
777,999.23
778,1000.166
779,1000.362
780,999.544
781,1000
782,999.977
783,999.949
784,1000.071
785,999.938
786,999.897
787,1000.946
788,999.161
789,999.977
790,1000.042
791,1000.242
792,999.811
793,1000.01
794,1000.586
795,999.601
796,999.807
797,999.866
798,1000.118
799,999.72
800,1000.239
801,1002.501
802,997.421
803,1000.717
804,999.687
805,999.796
806,999.945
807,999.949
808,1000.078
809,999.669
810,1000.064
811,1000.475
812,999.515
813,999.992
814,1000.209
815,999.978
816,999.834
817,999.95
818,1000.071
819,1000.635
820,999.311
821,1000.038
822,1000.02
823,1000.047
824,1000.091
825,999.851
826,999.963
827,1000.39
828,999.841
829,999.934
830,999.962
831,999.903
832,1000.394
833,999.57
834,1000.057
835,1001.266
836,999.362
837,999.982
838,999.61
839,999.956
840,999.758
841,999.941
842,1000.095
843,1000.82
844,999.394
845,999.964
846,999.885
847,1000.214
848,999.751
849,1000.062
850,999.909
851,1000.664
852,999.41
853,999.954
854,999.883
855,1000.122
856,1000.052
857,999.95
858,1000.029
859,1000.353
860,999.564
861,1000.213
862,999.866
863,1000.061
864,1000.307
865,999.629
866,1000.155
867,1000.316
868,999.55
869,999.925
870,1000.026
871,1000.096
872,999.89
873,1000.074
874,999.982
875,1000.252
876,999.763
877,999.997
878,999.837
879,1000.04
880,1000.092
881,999.985
882,1000.12
883,1000.184
884,999.632
885,1000.213
886,999.743
887,1000.18
888,999.91
889,1000.017
890,999.957
891,1000.612
892,999.549
893,1000.189
894,1000.119
895,999.734
896,999.843
897,1000.001
898,1000.366
899,1000.114
900,999.724
901,1000.032
902,999.811
903,1000.254
904,999.677
905,1000.183
906,999.889
907,1000.357
908,999.605
909,1000.269
910,999.796
911,1000.278
912,999.747
913,1001.371
914,1002.26
915,1000.181
916,997.623
917,998.49
918,999.89
919,1000.371
920,999.978
921,999.732
922,999.997
923,1000.518
924,999.432
925,1000.297
926,999.636
927,1000.107
928,1000.063
929,1000.033
930,999.846
931,1000.443
932,999.554
933,1000.12
934,999.864
935,1000.128
936,999.932
937,1000.106
938,999.905
939,1000.503
940,999.543
941,1000.161
942,999.886
943,1000.038
944,1000.009
945,999.769
946,1000.137
947,1000.473
948,999.44
949,1000.104
950,999.96
951,1000.196
952,999.792
953,999.975
954,1000.101
955,1000.415
956,999.597
957,1000.173
958,999.866
959,1000.111
960,999.915
961,999.826
962,1000.112
963,1000.285
964,999.598
965,1000.094
966,999.894
967,1000.302
968,999.726
969,1000.015
970,999.956
971,1000.66
972,999.63
973,999.926
974,999.909
975,1000.347
976,999.672
977,1000.261
978,999.928
979,1000.296
980,999.599
981,999.957
982,999.817
983,1000.357
984,999.875
985,999.951
986,1000.062
987,1000.173
988,999.567
989,1000.081
990,999.977
991,1000.085
992,999.919
993,1000.062
994,1000.609
995,999.928
996,999.554
997,1000.128
998,999.771
999,1000.022
1000,999.941
1001,999.963
1002,1000.038
1003,1000.395
1004,999.595
1005,1000.006
1006,1002.676
1007,997.736
1008,999.57
1009,999.944
1010,1000.104
1011,1000.638
1012,999.39
1013,999.958
1014,1000.054
1015,1000.32
1016,999.892
1017,999.749
1018,999.935
1019,1000.456
1020,999.665
1021,1000.094
1022,999.961
1023,1000.247
1024,999.845
1025,999.981
1026,999.903
1027,1000.296
1028,999.643
1029,1000.17
1030,999.857
1031,1000.093
1032,999.996
1033,1000.009
1034,1000.006
1035,1000.214
1036,999.609
1037,1000.101
1038,999.973
1039,1000.108
1040,999.886
1041,999.95
1042,999.821
1043,1000.538
1044,999.811
1045,999.869
1046,999.938
1047,1000.009
1048,999.963
1049,1000.035
1050,999.86
1051,1000.431
1052,999.859
1053,1000.136
1054,999.739
1055,1000.395
1056,999.915
1057,999.97
1058,999.863
1059,1000.188
1060,999.772
1061,1000.087
1062,999.909
1063,1000.205
1064,999.876
1065,999.815
1066,1000.114
1067,1000.388
1068,999.656
1069,999.921
1070,1000.038
1071,1000.093
1072,999.861
1073,1000.017
1074,1000.103
1075,1000.287
1076,999.61
1077,1000.086
1078,999.948
1079,1000.089
1080,999.915
1081,999.977
1082,999.941
1083,1000.255
1084,999.616
1085,999.924
1086,1000.039
1087,1000.121
1088,999.991
1089,1000.17
1090,999.817
1091,1000.332
1092,999.85
1093,999.834
1094,999.883
1095,1000.141
1096,999.885
1097,1000.161
1098,999.891
1099,1000.284
1100,999.743
1101,1000.069
1102,999.831
1103,1000.119
1104,999.999
1105,1000.006
1106,1000.001
1107,1000.362
1108,999.659
1109,1000.061
1110,999.85
1111,1000.024
1112,999.995
1113,1000.66
1114,999.424
1115,1000.298
1116,999.741
1117,999.991
1118,999.902
1119,1000.101
1120,999.888
1121,999.989
1122,999.96
1123,1000.448
1124,999.685
1125,1000.225
1126,999.656
1127,1000.057
1128,999.996
1129,1000.023
1130,999.98
1131,1000.366
1132,999.535
1133,1000.206
1134,999.921
1135,1000.942
1136,999.036
1137,999.905
1138,1000.098
1139,1000.54
1140,999.482
1141,1000.088
1142,999.86
1143,1000.164
1144,999.837
1145,1000.002
1146,999.919
1147,1000.379
1148,1001.929
1149,997.903
1150,1000.346
1151,999.803
1152,999.728
1153,999.954
1154,999.936
1155,1000.658
1156,999.654
1157,1000.206
1158,999.795
1159,1000.268
1160,999.46
1161,1000.159
1162,999.934
1163,1000.356
1164,999.861
1165,999.768
1166,999.896
1167,1000.381
1168,999.879
1169,1000.018
1170,1000.273
1171,1000.077
1172,999.581
1173,999.923
1174,1000.012
1175,1000.116
1176,999.757
1177,1000.059
1178,999.904
1179,1000.46
1180,999.72
1181,999.954
1182,999.837
1183,1000.155
1184,999.983
1185,999.965
1186,999.89
1187,1000.528
1188,999.737
1189,1000.014
1190,999.733
1191,1000.149
1192,1000.004
1193,1000.163
1194,1000.735
1195,999.505
1196,999.528
1197,1000.095
1198,1000.361
1199,999.808
1200,1000.373
1201,999.361
1202,1000.033
1203,1000.349
1204,999.8
1205,1000.108
1206,999.856
1207,1000.07
1208,1001.806
1209,1000.18
1210,997.878
1211,1000.36
1212,999.783
1213,1000.056
1214,999.879
1215,1000.076
1216,999.989
1217,999.999
1218,1000.115
1219,1000.163
1220,999.503
1221,1000.132
1222,999.924
1223,1000.017
1224,999.935
1225,999.96
1226,1000.167
1227,1000.415
1228,999.674
1229,999.971
1230,999.972
1231,1000.107
1232,999.855
1233,999.903
1234,999.92
1235,1000.517
1236,999.473
1237,1000.157
1238,999.969
1239,1000.034
1240,999.836
1241,1000.172
1242,999.98
1243,1000.352
1244,999.525
1245,1000.07
1246,999.943
1247,1000.042
1248,1000.037
1249,1000.096
1250,999.821
1251,1000.38
1252,999.655
1253,1000.25
1254,999.67
1255,1000.206
1256,999.901
1257,1000.042
1258,1000.033
1259,1000.379
1260,999.475
1261,1000.076
1262,1000.042
1263,1000.046
1264,999.864
1265,999.964
1266,1000.002
1267,1000.771
1268,999.284
1269,1000.485
1270,999.497
1271,1000.256
1272,999.815
1273,999.948
1274,1000.013
1275,1000.484
1276,999.538
1277,1000.127
1278,999.743
1279,1000.105
1280,1000.065
1281,1000.075
1282,999.921
1283,1000.293
1284,999.586
1285,1000.195
1286,999.852
1287,1000.127
1288,999.954
1289,999.951
1290,1000.364
1291,1000.166
1292,999.512
1293,999.913
1294,1000.097
1295,1000.025
1296,999.907
1297,999.979
1298,1000.085
1299,1000.182
1300,999.712
1301,1001.747
1302,998.246
1303,1000.132
1304,999.963
1305,1000.086
1306,999.814
1307,1000.421
1308,999.894
1309,999.737
1310,1000.041
1311,1000.013
1312,999.911
1313,999.975
1314,1000.035
1315,1000.405
1316,999.526
1317,1000.028
1318,1000.155
1319,999.921
1320,1000.002
1321,999.995
1322,1000.019
1323,1000.331
1324,999.82
1325,999.84
1326,999.975
1327,1000.059
1328,1000.023
1329,999.961
1330,1000.069
1331,1000.328
1332,999.653
1333,1000.509
1334,999.321
1335,1000.132
1336,1000.03
1337,999.962
1338,999.984
1339,1000.393
1340,999.833
1341,1002.037
1342,997.826
1343,999.941
1344,999.917
1345,1000.128
1346,999.842
1347,1000.375
1348,999.857
1349,1001.38
1350,998.679
1351,1000.183
1352,999.605
1353,999.9
1354,999.967
1355,1000.394
1356,999.834
1357,999.843
1358,1000.031
1359,1000.064
1360,1000.137
1361,999.867
1362,999.86
1363,1000.491
1364,999.66
1365,999.952
1366,999.898
1367,1000.106
1368,1000.034
1369,999.864
1370,1000.057
1371,1000.281
1372,999.754
1373,1000.02
1374,999.864
1375,1000.206
1376,1000.075
1377,999.731
1378,1000.194
1379,1000.185
1380,999.828
1381,999.946
1382,1000.046
1383,999.999
1384,999.871
1385,1000.117
1386,999.679
1387,1000.568
1388,999.792
1389,1000.017
1390,1000.055
1391,999.957
1392,999.893
1393,999.995
1394,999.878
1395,1000.404
1396,999.642
1397,1000.13
1398,999.88
1399,1000.121
1400,999.945
1401,1000.007
1402,999.918
1403,1000.306
1404,999.581
1405,1000.193
1406,1000.002
1407,1000.021
1408,1000.004
1409,999.973
1410,1000.072
1411,1000.229
1412,999.643
1413,999.988
1414,999.928
1415,1000.147
1416,999.932
1417,999.976
1418,1000.045
1419,1000.405
1420,999.807
1421,999.855
1422,1000.146
1423,999.752
1424,1000.036
1425,1000.049
1426,999.778
1427,1000.451
1428,999.783
1429,1000.041
1430,999.902
1431,1000.284
1432,999.734
1433,1000.007
1434,999.901
1435,1000.28
1436,999.756
1437,999.996
1438,1001.055
1439,1000.461
1440,998.556
1441,999.942
1442,999.974
1443,1000.345
1444,999.875
1445,1000.095
1446,999.988
1447,1000.03
1448,999.838
1449,1000.065
1450,1000.035
1451,1000.041
1452,999.903
1453,1000.048
1454,999.821
1455,1000.219
1456,999.736
1457,999.958
1458,1000.039
1459,1000.317
1460,999.753
1461,999.906
1462,1000.038
1463,1000.051
1464,1001.587
1465,998.381
1466,999.949
1467,1000.302
1468,999.914
1469,1000.032
1470,1000.011
1471,999.822
1472,999.874
1473,1000.111
1474,999.848
1475,1000.467
1476,999.619
1477,1000.104
1478,999.944
1479,999.901
1480,1000.23
1481,999.91
1482,999.801
1483,1000.465
1484,999.708
1485,1000.023
1486,1000.069
1487,999.819
1488,1000.617
1489,1001.518
1490,999.261
1491,999.162
1492,999.455
1493,1000.158
1494,999.938
1495,999.961
1496,1000.005
1497,1000.065
1498,1000.026
